Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
MAIZ DURO SECO (GRANO SECO),transitory,0.01,150.0,0.0,1e-12,0.0,18143.6948,,,,,,,,,,,,,0.0,1e-12,0.0,15.0,0.04,60.0,,,2238.39,2283.61,,,,,,,,,2.0,10.0,0.01,1600.0,45.454545454545,18181.81818181818,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,0.45359237,56699.04625,0.0,56699.04625,1.5,302.39491333333336,2.0,452.9220779220779,0.0,113398.0925,0.0,18143.6948,0.0074055897142857145,150.0,0.022736459649122808,2000.0,0.022679618500000002,97.198365,0.0,2150.0,0.6087662337662338,3474.5454545454427,0.0,18143.6948,0.0,933.3333333333334,0.0,800.0,0.0,11304.347826086958,0.0,11304.347826086958,0.0,11304.347826086958,,,,,,,,,,
MAIZ SUAVE CHOCLO (CHOCLO),transitory,0.01,6.0,0.0,1e-12,0.0,18892.122210499998,,,,,,,,,,,,,0.0,1e-12,0.0,18.181818181818183,0.0,11.0,,,804.87,821.13,,,,,,,,,2.0,10.0,0.01,35.0,35.88516746411484,10909.090909090935,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,0.5,1200.0,0.0,635.029318,35.430839002267575,141.7233560090703,11.11111111111111,214.73051320592657,0.0,1200.0,0.0,18892.122210499998,0.10526315789473684,50.0,0.20833333333333334,41.96573506034737,0.4,41.99929351851851,0.0,50.0,0.0,545.454545454544,0.0,18892.122210499998,0.0,4838.318613333334,0.0,307.6923076923077,0.0,11304.347826086958,0.0,11304.347826086958,0.0,11304.347826086958,,,,,,,,,,
MAIZ SUAVE SECO (GRANO SECO),transitory,0.01,40.0,0.0,1e-12,0.0,90718.474,,,,,,,,,,,,,0.0,1e-12,0.0,20.0,0.0,50.0,,,2708.64,2763.36,,,,,,,,,2.0,11.0,0.01,1200.0,59.09090909090909,11079.54545454545,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,0.7559872833333334,2500.0,0.0,2660.0,2.6666666666666665,388.79346,25.0,695.5083006666667,0.0,2660.0,0.0,90718.474,0.04,40.0,0.06,33.333333333333336,0.014285714285714287,25.0,0.0,50.0,0.0,3693.181818181825,0.0,90718.474,0.0,6803.88555,0.0,555.5555555555555,0.0,1e-12,0.0,11304.347826086958,0.0,1e-12,,,,,,,,,,
MANGO (FRUTA FRESCA),permanent,0.18,506.94,0.0,1e-12,0.0,4535.9237,,,,,,,,,,,,,0.0,1e-12,0.0,10.0,,,,,78.21,79.79,,,,,,,,,10.89,11.11,0.05,506.94,454.54545454545496,68181.818181818,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,1.0,487.8048780487805,0.0,250.0,12.76595744680851,52.0,11.779580245844876,18.837209302325583,0.0,487.8048780487805,0.0,4535.9237,0.19999999999999998,3.152173913043478,0.26666666666666666,15.0,0.24390243902439024,4.693366708385482,0.0,20.7,,,0.0,4535.9237,0.0,266.6666666666667,0.0,52.0,0.0,1e-12,0.0,15652.17391304348,0.0,1e-12,,,,,,,,,,
MANI,transitory,0.04,8.0,0.0,1e-12,0.0,7.25747792,,,,,,,,,,,,,0.0,1e-12,0.0,2.0,0.12,5.0,,,86.13,87.87,,,,,,,,,3.0,6.0,0.01,20.0,90.90909090909089,2727.2727272727298,2608.6956521739135,10434.782608695654,,,,,,,,,,,891.9968000000001,2647.992,2.5,350.0,0.0,725.747792,299.3709642,305.4188624666667,,,0.0,729.747792,0.0,7.25747792,0.13636363636363635,10.0,0.3333333333333333,20.0,0.2,2.0,0.0,22.0,0.16363636363636322,85.2272727272725,0.0,1e-12,0.0,7.25747792,0.0,4.0,0.0,1e-12,0.0,10434.782608695654,0.0,7500.0,,,,,,,,,,
MARACUYÁ (FRUTA FRESCA),permanent,0.1,4.0,0.0,1e-12,0.0,3628.73896,,,,,,,,,,,,,0.0,1e-12,0.0,2.0833333333333335,,,,,155.43,158.57,,,,,,,,,10.89,11.11,0.0706,14.99,23.0,29090.909090909,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,0.6,800.0,0.0,625.0,,,2.1772433760000003,300.0,0.0,851.796185,0.0,3628.73896,0.4,60.0,0.05932203389830509,24.0,0.25,60.0,0.0,120.0,,,0.0,3628.73896,0.0,80.0,0.0,133.33333333333334,0.0,1e-12,0.0,15652.17391304348,0.0,15652.17391304348,,,,,,,,,,
NARANJA (FRUTA FRESCA),permanent,0.02,70.2072,0.0,1e-12,0.0,4535.9237,,,,,,,,,,,,,0.0,1e-12,0.0,723.3046296952516,,,,,147.51,150.49,,,,,,,,,10.89,11.11,0.0,70.2072,30.303030303030297,40909.090909091,0.0,18260.869565217392,,,,,,,,,,,3851.9916,8855.9988,45.359237,986.0703695652173,0.0,212.58503401360545,126.66666666666667,200.0,1.3333333333333333,269.46081386138616,0.0,986.0703695652173,0.0,4535.9237,0.19999999999999998,18.333333333333332,0.15747039556563366,85.04606661941885,0.3543083900226757,17.857142857142858,0.0,808.3506963146705,,,0.0,4535.9237,0.0,3239.9455000000003,0.0,1200.0,0.0,1e-12,0.0,18260.869565217392,0.0,1e-12,,,,,,,,,,
ORITO (FRUTA FRESCA),permanent,0.05,20.0,0.0,1e-12,0.0,362.873896,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,92.07,93.93,,,,,,,,,10.89,11.11,0.01,20.0,11.363636363636374,37878.78787878792,,,,,,,,,,,,,2294.5065000000004,8375.2513,0.5025125628140703,250.0,0.0,40.0,59.4,60.6,,,0.0,250.0,0.0,362.873896,1.48,10.2,0.18518518518518517,20.0,1.98,2.02,0.0,20.0,,,0.0,362.873896,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
OTROS PASTOS CULTIVADOS,cultivated_pasture,0.01,178.5,0.0,1e-12,0.0,1417476.15625,,,,,,,,,,,,,0.0,1e-12,0.0,215.9963666666667,,,,,4815.36,4912.64,,,,,,,,,10.89,11.11,0.01,1400.0,10000.0,20000.0,791.1131621452353,10434.782608695654,,,,,,,,,,,0.0,2475.7000000000003,0.7874015748031497,800.0,0.0,850.48569375,6.8038855499999995,720.0,2.3696682464454977,533.6380823529412,0.0,850.48569375,0.0,1417476.15625,0.03333333333333333,22.7027027027027,0.007207207207207207,100.0,0.16666666666666666,7.0,0.0,215.9963666666667,,,0.0,1417476.15625,0.0,11339.80925,0.0,800.0,0.0,10434.782608695654,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
OTROS PERMANENTES,permanent,0.01,110.0,0.0,1e-12,0.0,75296.33342,,,,,,,,,,,,,0.0,1e-12,0.0,453.59236999999996,,,,,1880.01,1917.99,,,,,,,,,10.89,11.11,0.0,599.0,11.086474501108647,109090.90909090919,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,1.0,10000.0,0.0,1209.5796533333335,5.0,416.6666666666667,10.0,625.0,0.0,10000.0,0.0,75296.33342,0.125,66.66666666666667,0.125,400.0,0.226796185,100.0,0.0,493.59236999999996,,,0.0,45359.237,0.0,75296.33342,0.0,3333.3333333333335,0.0,15652.17391304348,0.0,15652.17391304348,0.0,15652.17391304348,,,,,,,,,,
OTROS TRANSITORIOS,transitory,0.01,30.0,0.0,1e-12,0.0,136077.711,,,,,,,,,,,,,0.0,1e-12,0.0,60.0,0.1,65.0,,,1768.14,1803.86,,,,,,,,,0.0,11.0,0.0,30.0,22.7272727272725,119318.18181818198,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,0.25,9071.8474,0.0,1814.36948,1.7094017094017095,544.310844,0.4724920520833334,290.0,0.0,9071.8474,0.0,136077.711,0.030239491333333337,125.0,0.18899682083333336,56.699046249999995,0.06666666666666667,60.478982666666674,0.0,125.0,0.45454545454545503,6969.696969696977,0.0,136077.711,0.0,10000.0,0.0,1200.0,0.0,10434.782608695654,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
PALMA AFRICANA (FRUTA FRESCA),permanent,0.5,801.0,0.0,1e-12,0.0,36000.0,,,,,,,,,,,,,0.0,1e-12,0.0,6000.0,,,,,580.14,591.86,,,,,,,,,10.89,11.11,0.5,3000.0,250.0,120000.0,0.0,15652.17391304348,,,,,,,,,,,567.9936,1960.0096000000003,0.024,1666.6666666666667,0.0,1451.495584,1.3333333333333333,111.11111111111111,0.024,506.32911392405066,0.0,2400.0,0.0,36000.0,0.01587721619476052,25.063451776649746,0.05,56.851522842639596,0.008372093023255813,23.75,0.0,6000.8,,,0.0,36000.0,0.0,5063.291139240507,0.0,600.0,0.0,1e-12,0.0,15652.17391304348,0.0,1e-12,,,,,,,,,,
PALMITO (TALLO FRESCO),permanent,9.9,10.1,0.0,1e-12,0.0,9071.8474,,,,,,,,,,,,,0.0,1e-12,0.0,2.0,,,,,51.48,52.52,,,,,,,,,10.89,11.11,0.5,200.0,60.60606060606066,11784.511784511778,,,,,,,,,,,,,3851.9916,6864.0084,3.0,600.0,0.0,150.0,,,,,0.0,600.0,0.0,9071.8474,0.05,3.0,0.0044444444444444444,80.8080808080808,,,0.0,80.8080808080808,,,0.0,9071.8474,0.0,600.0,0.0,120.0,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
PAPA,transitory,0.01,57.0,0.0,1e-12,0.0,36287.3896,,,,,,,,,,,,,0.0,1e-12,0.0,39.473684210526315,0.0,100.0,,,681.12,694.88,,,,,,,,,3.0,11.0,0.0,57.0,568.1818181818187,81818.1818181818,0.0,10434.782608695654,,,,,,,,,,,1653.741,5272.5,0.07257477920000001,2500.0,0.0,1295.9782000000002,0.75,75.59872833333334,0.75,500.0,0.0,2500.0,0.0,36287.3896,0.08754385964912281,144.0,0.16666666666666666,50.0,0.025199576111111115,64.28571428571429,0.0,144.0,0.0,63636.363636363596,0.0,36287.3896,0.0,9071.8474,0.0,1578.9473684210527,0.0,1e-12,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
PASTO MIEL (CHILENA),cultivated_pasture,0.17,40.0,0.0,1e-12,0.0,5000.0,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,686.07,699.93,,,,,,,,,10.89,11.11,0.0564,700.0,9000.0,14000.0,10330.434782608698,10539.13043478261,,,,,,,,,,,0.0,2475.7000000000003,11.346901063164477,400.0,0.0,300.0,,,,,0.0,400.0,0.0,5000.0,,,0.0045359237000000005,8.5,,,0.0,8.5,,,0.0,5000.0,0.0,1088.621688,0.0,8.0,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,,,,,,,,,,
PASTO MIXTO,cultivated_pasture,0.0,1350.0,0.0,1e-12,0.0,48780.48780487805,,,,,,,,,,,,,0.0,1e-12,0.0,41.235670000000006,,,,,5953.86,6074.14,,,,,,,,,10.89,11.11,0.01,1350.0,12000.0,25000.0,173.9130434782609,10434.782608695654,,,,,,,,,,,0.0,2475.7000000000003,0.25252525252525254,816.466266,0.0,749.9999999999999,6.479891,571.4285714285714,0.8113590263691685,600.0,0.0,826.5682656826568,0.0,48780.48780487805,0.008,22.6796185,0.007692307692307693,20.0,0.024,15.384615384615383,0.0,41.235670000000006,,,0.0,38000.0,0.0,4535.9237,0.0,48780.48780487805,0.0,10434.782608695654,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
PIÑA (FRUTA FRESCA),permanent,0.7056,250.0,0.0,1e-12,0.0,5060.0,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,52.47,53.53,,,,,,,,,10.89,11.11,0.01,250.0,654.5454545454546,100000.0,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,9.071847400000001,850.0,0.0,1000.0,64.8,648.0,50.0,1500.0,0.0,2298.0,0.0,5060.0,1.0,30.0,0.95,57.88113695090439,0.45218177707438395,43.41085271317829,0.0,130.2325581395349,,,0.0,3000.0,0.0,2000.0,0.0,60.0,0.0,1e-12,0.0,15652.17391304348,0.0,1e-12,,,,,,,,,,
PLÁTANO (FRUTA FRESCA),permanent,0.04,293.0,0.0,1e-12,0.0,6803.88555,,,,,,,,,,,,,0.0,1e-12,0.0,75.59872833333334,10.0,70.0,,,1700.82,1735.18,,,,,,,,,10.89,11.11,0.0,293.0,90.90909090909066,66287.87878787876,0.0,29565.21739130435,,,,,,,,,,,2294.5065000000004,8375.2513,0.5,2000.0,0.0,1511.9745666666668,1.0,220.0,2.5,257.22222222222223,0.0,2000.0,0.0,6803.88555,0.07158196134574087,47.99999999999999,0.11810279667422524,100.0,0.06666666666666667,600.0,0.0,700.0,122.72727272727299,4454.545454545452,0.0,6803.88555,0.0,1360.77711,0.0,160.0,0.0,29565.21739130435,0.0,29565.21739130435,0.0,29565.21739130435,,,,,,,,,,
QUINUA,transitory,0.49,1.5,0.0,1e-12,0.0,5669.904625,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.5,4.0,,,40.59,41.41,,,,,,,,,4.0,7.0,0.04,1.5,239.23444976076576,5454.54545454546,10330.434782608698,10539.13043478261,,,,,,,,,,,1653.741,3993.7619999999997,71.61984789473685,277.7096142857143,0.0,90.718474,,,,,0.0,277.7096142857143,0.0,5669.904625,0.20408163265306123,14.174761562500002,0.6599999999999999,0.6733333333333333,,,0.0,14.174761562500002,3.084415584415585,113.63636363636401,0.0,5669.904625,0.0,5.669904625,0.0,5.405405405405405,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,,,,,,,,,,
SABOYA,cultivated_pasture,0.25,299.0,0.0,1e-12,0.0,2800.0,,,,,,,,,,,,,0.0,1e-12,0.0,2.7215542200000002,,,,,2047.32,2088.68,,,,,,,,,10.89,11.11,0.1,1918.5,18000.0,33000.0,1159.4202898550725,10434.782608695654,,,,,,,,,,,0.0,2475.7000000000003,0.05161290322580645,200.0,0.0,750.0,0.9991097042239588,0.9997317356702138,0.9991097042239588,100.0,0.0,750.0,0.0,2800.0,0.0010001250156269534,3.3333333333333335,0.007207207207207207,105.42962572482868,0.013793103448275862,3.0,0.0,105.42962572482868,,,0.0,2800.0,0.0,1083.3333333333333,0.0,40.008634957185,0.0,1e-12,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
SOYA,transitory,0.3528,40.0,0.0,1e-12,0.0,80.0,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,1.0,50.0,,,79.2,80.8,,,,,,,,,0.0,6.0,0.3528,300.0,422.0779220779214,2500.0,7187.5,10000.0,,,,,,,,,,,891.9968000000001,1960.0096000000003,1.417233560090703,300.0,0.0,283.4467120181406,2.1433164249482033,200.0,0.4,170.06802721088437,0.0,566.8934240362812,0.0,80.0,0.25,8.503401360544217,0.25,5.668934240362812,0.4286632849896406,4.0,0.0,14.17233560090703,5.681818181818187,543.9477290588234,0.0,1e-12,0.0,1e-12,0.0,80.0,0.0,1e-12,0.0,10000.0,0.0,10000.0,,,,,,,,,,
TABACO,transitory,0.6,711.0,0.0,1e-12,0.0,2200.0,,,,,,,,,,,,,0.0,1e-12,0.0,2.0256410256410255,24.0,28.0,,,30.69,31.31,,,,,,,,,2.0,7.0,0.6,702.0,592.2865013774103,2673.7967914438527,7500.0,10434.782608695654,,,,,,,,,,,3069.991386,3132.011414,80.0,1000.0,0.0,101.28205128205128,401.0769230769231,409.1794871794872,105.01779359430606,202.56410256410257,0.0,1000.0,0.0,2200.0,0.2,10.006060606060606,0.4,6.0,0.2,14.179487179487179,0.0,23.74358974358974,168.872727272727,197.01818181818203,0.0,1200.0,0.0,1000.0,0.0,2.0,0.0,1e-12,0.0,10434.782608695654,0.0,7500.0,,,,,,,,,,
TOMATE DE ÁRBOL (FRUTA FRESCA),permanent,0.01,1.5,0.0,1e-12,0.0,45359.237,,,,,,,,,,,,,0.0,1e-12,0.0,24.0,,,,,99.99,102.01,,,,,,,,,10.89,11.11,0.01,2.0,454.5454545454547,44545.45454545454,0.0,10434.782608695654,,,,,,,,,,,3851.9916,6864.0084,50.0,2061.7835,0.0,250.0,,,30.239491333333334,2061.7835,0.0,4123.567,0.0,45359.237,0.25,50.0,0.5,15.0,0.25,40.0,0.0,80.0,,,0.0,45359.237,0.0,1e-12,0.0,160.0,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,,,,,,,,,,
TOMATE RIÑON,transitory,0.02,3.5,0.0,1e-12,0.0,70440.22687058825,,,,,,,,,,,,,0.0,1e-12,0.0,256.25,0.99,1.01,,,193.05,196.95,,,,,,,,,0.0,11.0,0.01,3.5,1818.1818181818198,204545.45454545418,0.0,10434.782608695654,,,,,,,,,,,5180.503900000001,8375.2513,0.888888888888889,1562.5,0.0,375.0,5.172413793103448,226.796185,1.133980925,604.7898266666667,0.0,1562.5,0.0,70440.22687058825,0.15,42.857142857142854,0.30864197530864196,25.0,0.16666666666666669,69.78344153846155,0.0,312.5,22.727272727272734,28.4090909090909,0.0,70440.22687058825,0.0,22679.6185,0.0,700.0,0.0,1e-12,0.0,10434.782608695654,0.0,7500.0,,,,,,,,,,
TRIGO,transitory,0.05,18.0,0.0,1e-12,0.0,27215.5422,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.25,10.0,,,68.31,69.69,,,,,,,,,4.0,9.0,0.03,20.0,272.7272727272728,3865.1824366110072,10330.434782608698,10539.13043478261,,,,,,,,,,,1447.4865,3993.7619999999997,45.359237,453.59237,0.0,424.92917847025495,1160.3720930232557,1183.8139534883721,1.0,68.0388555,0.0,1172.093023255814,0.0,27215.5422,0.9448223733938019,7.5,0.4,17.006802721088434,0.3,4.166666666666667,0.0,21.258503401360542,3.699788583509512,272.72727272727303,0.0,27215.5422,0.0,12.5,0.0,1e-12,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,,,,,,,,,,
YUCA,transitory,0.01,89.74,0.0,1e-12,0.0,10205.828325,,,,,,,,,,,,,0.0,1e-12,0.0,6.0,0.5,10.0,,,315.81,322.19,,,,,,,,,0.0,11.0,0.01,89.74,113.63636363636374,28409.090909091003,10330.434782608698,10539.13043478261,,,,,,,,,,,1653.741,3993.7619999999997,2.0,700.0,0.0,440.0,148.5,151.5,198.0,202.0,0.0,880.0,0.0,10205.828325,0.36363636363636365,21.73913043478261,0.05555555555555556,21.05263157894737,0.25,2.0,0.0,21.73913043478261,13.25757575757575,181.81818181818133,0.0,10205.828325,0.0,150.0,0.0,80.0,0.0,1e-12,0.0,10434.782608695654,0.0,10434.782608695654,,,,,,,,,,
