Region,Province,Crop,Category,count__minValue,count__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,N_min__minValue,N_min__maxValue,P_min__minValue,P_min__maxValue,K_min__minValue,K_min__maxValue,N_orga__minValue,N_orga__maxValue,P_orga__minValue,P_orga__maxValue,K_orga__minValue,K_orga__maxValue,N_tot__minValue,N_tot__maxValue,P_tot__minValue,P_tot__maxValue,K_tot__minValue,K_tot__maxValue,kgNH3N_ha__minValue,kgNH3N_ha__maxValue,kgNOxN_ha__minValue,kgNOxN_ha__maxValue,kgNO3N_ha__minValue,kgNO3N_ha__maxValue,kgN2ON_ha_direct__minValue,kgN2ON_ha_direct__maxValue,kgN2ON_ha_indirect__minValue,kgN2ON_ha_indirect__maxValue,kgN2ON_ha__minValue,kgN2ON_ha__maxValue,kgCO2urea_ha__minValue,kgCO2urea_ha__maxValue,kgCO2limestone_ha__minValue,kgCO2limestone_ha__maxValue,kgCO2_fert_ha__minValue,kgCO2_fert_ha__maxValue,soil_erosion_tha__minValue,soil_erosion_tha__maxValue,kgP_ha_erosion__minValue,kgP_ha_erosion__maxValue,kgP_ha_runoff__minValue,kgP_ha_runoff__maxValue,kgP_ha_leaching__minValue,kgP_ha_leaching__maxValue,kgP_ha_drainage__minValue,kgP_ha_drainage__maxValue,kgP_total__minValue,kgP_total__maxValue,Cd_kg_ha__minValue,Cd_kg_ha__maxValue,Cu_kg_ha__minValue,Cu_kg_ha__maxValue,Zn_kg_ha__minValue,Zn_kg_ha__maxValue,Pb_kg_ha__minValue,Pb_kg_ha__maxValue,Ni_kg_ha__minValue,Ni_kg_ha__maxValue,Cr_kg_ha__minValue,Cr_kg_ha__maxValue,Hg_kg_ha__minValue,Hg_kg_ha__maxValue,trace_metals_from_organic__minValue,trace_metals_from_organic__maxValue,SOC_mean_rate_kgChayr__minValue,SOC_mean_rate_kgChayr__maxValue,SOC_mean_rate_kgChayr__minValue__minValue,SOC_mean_rate_kgChayr__minValue__maxValue,SOC_mean_rate_kgChayr__maxValue__minValue,SOC_mean_rate_kgChayr__maxValue__maxValue
(all regions confounded),(all provinces confounded),AGUACATE (FRUTA FRESCA),permanent,214.83,219.17,10.89,11.11,0.02,20.0,37.878787878788,24242.424242424266,0.0,15652.17391304348,3851.9916,6864.0084,32.988536,1000.0,0.0,226.796185,45.359237,125.0,13.48314606741573,125.0,0.0,1000.0,0.0,120957.96533333334,0.18,48.0,0.1818181818181818,48.0,0.2,25.0,0.0,96.0,0.0,0.0,0.0,60478.98266666667,0.0,60478.98266666667,0.0,1363.6363636363635,0.0,1e-12,0.0,15652.17391304348,0.0,15652.17391304348,4.948280400000001,227.1107029,11.06707652862,90.00750000000001,10.822983290377078,186.77249999999998,0.0,972.3682681212122,0.0,381.68877035738467,0.0,1129.2446367713706,4.948280400000001,1199.4789710212121,11.06707652862,471.69627035738466,10.822983290377078,1316.0171367713706,0.09790318309058825,76.41095312705528,0.28047833471693556,64.94262886083602,1.5339669240000002,371.83848101657577,0.024741402000000003,5.9973948551060605,0.019545707580000002,5.875612809235606,0.044287109580000004,11.873007664341667,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17984184598127123,0.3781231012634278,0.0735,0.07366402193181817,0.44099999999999995,0.44198413159090905,1.713959510381271,1.9133889191861548,0.0,0.029366092475878184,0.0,6.6982965998787884,0.0,23.090164585851333,0.0,0.5988099731985188,0.0,0.7546038563199273,0.0,1.2319777014224031,0.0,0.006640478269640606,0.0,1.0,150.0,800.0,148.5,151.5,792.0,808.0
(all regions confounded),(all provinces confounded),ARROZ (EN CÁSCARA),transitory,2321.55,2368.45,2.0,7.0,0.0564,592.0,500.0,9395.45454545454,0.0,10000.0,1653.741,4514.9985,0.1984126984126984,600.0,0.0,1500.0,1.0,480.0,0.1181027966742252,400.0,0.0,1500.0,0.0,1238.095238095238,0.03125,50.0,0.0555555555555555,64.79891,0.0460822677814916,50.0,0.0,150.0,0.0,4480.0,0.0,1238.095238095238,0.0,266.6666666666667,0.0,200.5012531328321,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.02976190476190476,600.0,0.20936809523809524,133.5384,0.08352763605442173,273.933,0.0,13.361253132832083,0.0,4.791020970513093,0.0,15.779689593227785,0.02976190476190476,613.3612531328321,0.20936809523809524,138.3294209705131,0.08352763605442173,289.71268959322776,0.0005888480392156863,12.859390471413827,0.0016869637148337596,34.72467292781244,0.009226190476190476,190.14198847117794,0.0001488095238095238,3.0668062656641606,0.0001175595238095238,2.4384096160401,0.0002663690476190476,5.5052158817042605,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17509159854166667,0.23694814362281297,0.0735,0.07352411684210526,0.44099999999999995,0.4411447010526316,1.7092092629416666,1.7712346259175495,0.0,0.0003668891979949875,0.0,0.09996764912280702,0.0,0.45869840401002504,0.0,0.004457761303258145,0.0,0.00821553984962406,0.0,0.01254993022556391,0.0,0.00010495642105263157,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ARVEJA SECA (GRANO SECO),transitory,71.28,72.72,3.0,8.0,0.01,5.0,75.75757575757575,1948.0519480519424,0.0,10434.782608695654,1653.741,3993.762,1.61997275,647.9890999999999,0.0,312.5,0.0,0.0,2.0625,2.104166666666667,0.0,647.9890999999999,0.0,9071.8474,0.2083333333333333,10.0,0.04,14.285714285714285,0.6479891,3.125,0.0,14.285714285714285,0.0852272727272727,102.2727272727275,0.0,9071.8474,0.0,0.0,0.0,16.666666666666668,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,0.2429959125,203.448365,0.106043416215,42.417366486,1.2289596569662498,81.73236403649997,0.0,78.52898001000003,0.0,27.847133528275933,0.0,97.12833349016422,0.2429959125,281.97734501,0.106043416215,70.26450001427594,1.2289596569662498,178.86069752666418,0.004807745598198529,9.833381487854318,0.013773489651278085,15.73702049932408,0.075328732875,87.4129769531,0.0012149795625,1.4098867250500002,0.0009598338543749999,1.2056894194012,0.002174813416875,2.6155761444512002,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17504639399459404,0.21793099936236643,0.0735,0.0735020047125,0.44099999999999995,0.44101202827499997,1.709164058394594,1.7520626967498663,0.0,0.0013172648354423334,0.0,0.358119262658,0.0,1.6106446952089999,0.0,0.013733388371596,0.0,0.029453881471480002,0.0,0.04289638583426333,0.0,0.0006833267758866668,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),ARVEJA TIERNA (VAINA),transitory,294.03,299.97,1.0,11.0,0.01,10.0,227.272727272727,6863.63636363636,1043.4782608695652,10434.782608695654,1653.741,3993.762,0.4166666666666667,453.59237,0.0,453.59237,129.89772817471797,132.52192470350016,3.846153846153846,66.70476029411765,0.0,463.59237,0.0,56699.04625,0.0302394913333333,33.333333333333336,0.25,20.0,0.5,18.75,0.0,166.66666666666669,1.47727272727273,118.181818181818,0.0,56699.04625,0.0,1209.5796533333337,0.0,333.33333333333337,0.0,1e-12,0.0,10434.782608695654,0.0,10434.782608695654,0.0625,222.26026130000002,25.536590858951115,55.71681211347337,1.9674966346153844,89.70202686263823,0.0,500.4871605145001,0.0,178.09902326116276,0.0,617.1101246479925,0.0625,722.7474218145001,25.536590858951115,233.81583537463612,1.9674966346153844,706.8121515106308,0.0012365808823529413,41.41410384056215,0.003542623801150895,39.398839691536416,0.019375,224.05170076249502,0.0003125,3.6137371090725003,0.00024687499999999997,3.44042229396924,0.000559375,7.054159403041741,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.1861722585007911,0.35193957146990357,0.0735,0.07354009425000001,0.44099999999999995,0.4412405655,1.720289922900791,1.8863378956199035,0.0,0.008746649840447918,0.0,2.3584474294981,0.0,10.508919177412075,0.0,0.09634616742780834,0.0,0.19708869758149666,0.0,0.2896963690985305,0.0,0.0043151451880006,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),BANANO (FRUTA FRESCA),permanent,699.93,714.07,10.89,11.11,0.0,1660.0,90.909090909091,119506.49350649344,0.0,29565.21739130435,2294.5065000000004,8375.2513,0.7142857142857143,13325.04258943782,0.0,1632.932532,3.962264150943396,600.0,0.5660377358490566,2400.0,0.0,13325.04258943782,0.0,25000.0,0.0161290322580645,50.72463768115942,0.024,52.5,0.0968169761273209,50.72463768115942,0.0,111.11111111111111,5877.742946708466,9090.909090909085,0.0,25000.0,0.0,6333.333333333333,0.0,724.80181200453,0.0,29565.21739130435,0.0,29565.21739130435,0.0,29565.21739130435,0.10714285714285714,2553.953449295673,0.8248665768194069,990.0852879045998,0.3708600404312668,2854.5116780238495,0.0,265.30056625141566,0.0,97.62840796106683,0.0,319.2465493028061,0.10714285714285714,2819.254015547089,0.8248665768194069,1087.7136958656665,0.3708600404312668,3173.7582273266557,0.0021198529411764703,70.15266215536204,0.006073069373401534,158.96977391352158,0.03321428571428571,873.9687448195975,0.0005357142857142857,14.096270077735443,0.00042321428571428566,11.446455023925157,0.0009589285714285714,25.5427251016606,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17536087912735848,0.6760104756909323,0.0735,0.07358718115515289,0.44099999999999995,0.44152308693091735,1.709478543527358,2.2107384081770025,0.0,0.006059525906002264,0.0,1.5295195016987544,0.0,6.2562885007550015,0.0,0.09195147659494148,0.0,0.14455688297470742,0.0,0.22445281207059267,0.0,0.002108554090222726,0.0,1.0,150.0,800.0,148.5,151.5,792.0,808.0
(all regions confounded),(all provinces confounded),BRACHIARIA,cultivated_pasture,509.85,520.15,10.89,11.11,0.08,950.0,20000.0,30000.0,1304.3478260869567,10434.782608695654,0.0,2475.7000000000003,0.025,453.59237,0.0,200.0,0.0,0.0,99.0,101.0,0.0,453.59237,0.0,5000.0,0.9685230024213076,1.8867924528301887,0.06,40.19172898734177,,,0.0,40.19172898734177,0.0,0.0,0.0,5000.0,0.0,8.0,0.0,4.166666666666667,0.0,1e-12,0.0,10434.782608695654,0.0,1304.3478260869567,0.00375,136.0388555,0.0016365000000000002,29.692156540200003,49.311052874999994,106.78311395054999,0.0,43.323175000000006,0.0,15.370642883359068,0.0,53.58579122636873,0.00375,179.3620305,0.0016365000000000002,45.06279942355907,49.311052874999994,160.3689051769187,7.419485294117646e-05,5.8958017589367655,0.0002125574280690537,10.030873227200615,0.0011625,55.602229455,1.875e-05,0.8968101525000001,1.4812499999999998e-05,0.7591681352249999,3.3562499999999996e-05,1.655978287725,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17500071596874997,0.20141882549199167,0.0735,0.073500501178125,0.44099999999999995,0.44100300706874995,1.7091183803687495,1.7355399981388664,0.0,0.0007261483333333333,0.0,0.19708639,0.0,0.884387904,0.0,0.007626999999999999,0.0,0.016260852,0.0,0.023699797533333327,0.0,0.0003768278066666667,0.0,1.0,150.0,500.0,148.5,151.5,495.0,505.0
(all regions confounded),(all provinces confounded),BROCOLI,transitory,255.42,260.58,1.0,3.0,0.01,170.0,3740.259740259743,25000.0,7500.0,10434.782608695654,5180.503900000001,8375.2513,18.181818181818183,1511.9745666666668,0.0,453.59237,50.0,204.11656650000003,64.79891,373.5466576470589,0.0,1511.9745666666668,0.0,27215.5422,0.1219512195121951,20.0,0.8571428571428571,15.0,0.0335994348148148,28.57142857142857,0.0,78.78461538461539,0.0,0.0,0.0,27215.5422,0.0,10000.0,0.0,120.0,0.0,1e-12,0.0,10434.782608695654,0.0,1e-12,2.7272727272727275,381.0175908,11.009181818181817,139.05826646327003,34.537654205509085,374.31216147619415,0.0,309.32844003,0.0,115.8664213848278,0.0,370.7516915704927,2.7272727272727275,690.34603083,11.009181818181817,254.92468784809785,34.537654205509085,745.0638530466869,0.05395989304812836,30.4168404384059,0.15458722041385728,38.161122748731316,0.8454545454545456,214.0072695573,0.013636363636363637,3.4517301541500003,0.010772727272727274,3.0887810966136,0.02440909090909091,6.5405112507636005,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17981651704545454,0.30902836108940496,0.0735,0.07351443393,0.44099999999999995,0.44108660357999996,1.7139341814454543,1.8432470629994047,0.0,0.0072867945063269995,0.0,1.7643127879740002,0.0,6.743179085626999,0.0,0.12482616511478797,0.0,0.17943164441443998,0.0,0.28331140750279,0.0,0.00239294032766,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),CACAO (ALMENDRA SECA),permanent,5571.72,5684.28,10.89,11.11,0.0,600.0,3.18181818181818,9090.90909090909,0.0,15652.17391304348,3851.9916,6864.0084,0.1,2500.0,0.0,4000.0,0.6666666666666666,294.11764705882354,0.2,800.0,0.0,4000.0,0.0,100788.224614,0.0166666666666666,50.0,0.025025025025025,72.57477920000001,0.0133333333333333,50.0,0.0,125.0,21.599999999999984,22.03636363636362,0.0,26448.964614809003,0.0,100788.224614,0.0,750.0,0.0,15652.17391304348,0.0,15652.17391304348,0.0,15652.17391304348,0.015,1735.0,0.13746599999999998,221.40882352941176,0.1120635,709.7355,0.0,972.1644948309978,0.0,406.98375371510764,0.0,1083.0918481854123,0.015,2707.1644948309977,0.13746599999999998,628.3925772445194,0.1120635,1792.8273481854123,0.00029677941176470583,106.22991505475333,0.0008502297122762148,150.40186917836544,0.00465,839.2209933976093,7.5e-05,13.535822474154989,5.924999999999999e-05,11.830732213534707,0.00013424999999999998,25.366554687689696,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17506014137499998,0.3436300560685804,0.0735,0.0735902120625,0.44099999999999995,0.44154127237499996,1.7091778057749996,1.8783792049060803,0.0,0.037451302982067725,0.0,7.997346219529691,0.0,23.954999963363456,0.0,0.8828838945361536,0.0,1.003714148907772,0.0,1.6834207577172404,0.0,0.005448818258416988,0.0,1.0,150.0,800.0,148.5,151.5,792.0,808.0
(all regions confounded),(all provinces confounded),CAFÉ (GRANO ORO),permanent,516.78,527.22,10.89,11.11,0.0,28.0,11.45454545454544,2945.45454545454,0.0,15652.17391304348,3851.9916,6864.0084,0.25,127005.8636,0.0,127005.8636,158.4,161.6,60.0,90.718474,0.0,254011.7272,0.0,100000.0,0.025,20.0,0.025025025025025,20.0,0.1785714285714285,12.0,0.0,47.359237,0.2681818181818179,16.09285714285714,0.0,7559.872833333334,0.0,6428.571428571428,0.0,100000.0,0.0,15652.17391304348,0.0,15652.17391304348,0.0,15652.17391304348,0.0375,62232.873164000004,31.122957000000003,8345.538839256,29.91472875,15859.318349314437,0.0,457.64290000833336,0.0,109.40776645451567,0.0,339.36451302037494,0.0375,62690.516064008334,31.122957000000003,8454.946605710515,29.91472875,16198.682862334812,0.0007419485294117646,1265.1435066239928,0.002125574280690537,3551.988934840051,0.011625,19434.059979842583,0.0001875,313.4525803200417,0.000148125,248.16298064584265,0.000335625,561.6155609658844,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.1886162936875,3.946706113497201,0.0735,0.085528275,0.44099999999999995,0.51316965,1.7227339580874999,5.565021702897201,0.0,0.05321220482318607,0.0,17.382170218881665,0.0,98.21450474600749,0.0,0.24509806173823473,0.0,0.9825599012262333,0.0,1.4443755616079177,0.0,0.002089147710064286,0.0,1.0,150.0,800.0,148.5,151.5,792.0,808.0
(all regions confounded),(all provinces confounded),CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,122.76,125.24,10.89,11.11,0.22,8607.25,15384.615384615385,200000.0,0.0,34782.608695652176,2832.0108,6864.0084,0.4,857.1428571428571,0.0,705.5881311111111,23.61041365365365,70.0,42.68036314314315,440.99258194444445,0.0,1146.5807130555556,0.0,8000.0,0.3333333333333333,7.766990291262135,0.4816955684007707,16.0,1.0,4.0,0.0,23.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,3.0,0.0,1e-12,0.0,34782.608695652176,0.0,34782.608695652176,0.06,368.4713931492064,4.6627970333045035,69.85517142857142,21.307187667073872,326.3679082203928,0.0,69.21035000000002,0.0,24.549311038910506,0.0,85.62825328998197,0.06,437.6817431492064,4.6627970333045035,94.40448246748193,21.307187667073872,411.99616151037475,0.0011871176470588233,12.409193797337387,0.003400918849104859,24.591847419042857,0.0186,135.68134037625398,0.0003,2.188408715746032,0.00023699999999999996,1.809818994939365,0.0005369999999999999,3.998227710685397,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.1770399737020707,0.22704357340279668,0.0735,0.07350036084825,0.44099999999999995,0.44100216508949996,1.7111576381020703,1.7611637637405466,0.0,0.00115578,0.0,0.31385949999999996,0.0,1.409151,0.0,0.012089719999999998,0.0,0.025868599999999995,0.0,0.0376749,0.0,0.0006024390000000001,0.0,1.0,150.0,800.0,148.5,151.5,792.0,808.0
(all regions confounded),(all provinces confounded),CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,402.93,411.07,10.89,11.11,0.0,14.0,90.909090909091,200000.0,0.0,34782.608695652176,2832.0108,6864.0084,1.2,120.0,0.0,647.9890999999999,108.9,111.1,138.6,141.4,0.0,647.9890999999999,0.0,7559.872833333334,0.5,10.0,0.3,10.0,0.5,2.083333333333333,0.0,22.6796185,0.0,0.0,0.0,7559.872833333334,0.0,2993.709642,0.0,80.0,0.0,1e-12,0.0,34782.608695652176,0.0,34782.608695652176,0.18,238.31629399999997,21.464334,29.673018,69.18053399999998,85.36748399999999,0.0,87.67266587703334,0.0,32.91267580858943,0.0,104.79406896023217,0.18,325.9889598770333,21.464334,62.585693808589426,69.18053399999998,190.16155296023214,0.0035613529411764704,11.199531482395829,0.01020275654731458,18.203040859342078,0.055799999999999995,101.05657756188033,0.0009,1.6299447993851666,0.0007109999999999999,1.3902334105904104,0.001611,3.020178209975577,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.184390646125,0.2083593801977012,0.0735,0.07350962261999999,0.44099999999999995,0.44105773571999995,1.7185083105249999,1.742544402937701,0.0,0.0021187004336175,0.0,0.5125035438985268,0.0,1.9575886435881709,0.0,0.03656096582036333,0.0,0.05221501122848133,0.0,0.08262793264587703,0.0,0.00067269826265461,0.0,1.0,150.0,800.0,148.5,151.5,792.0,808.0
(all regions confounded),(all provinces confounded),CEBADA,transitory,248.49,253.51,3.0,10.0,0.02,22.0,136.363636363636,13636.36363636364,10330.434782608698,10539.13043478261,1447.4865,3993.762,6.0,412.3567000000001,0.0,400.0,0.0,0.0,53.886773556,54.975395244,0.0,412.3567000000001,0.0,6803.88555,0.4,10.909090909090908,0.1511974566666666,4.725897920604915,0.6,4.0,0.0,10.909090909090908,0.3787878787878784,10227.27272727273,0.0,6803.88555,0.0,1374.522333333333,0.0,500.0,0.0,1e-12,0.0,10434.782608695654,0.0,10434.782608695654,0.8999999999999999,197.853505,0.39276,26.992869582000008,27.585936437301356,78.72563985572664,0.0,70.6813491575,0.0,25.6413156114776,0.0,84.74709609428922,0.8999999999999999,268.53485415750004,0.39276,52.634185193477606,27.585936437301356,163.47273595001587,0.017806764705882352,9.142265526849473,0.05101378273657289,14.99965838603327,0.27899999999999997,83.24580478882501,0.0045,1.3426742707875001,0.0035549999999999996,1.1434098524364,0.008055,2.4860841232239004,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17517183249999999,0.20557808025755608,0.0735,0.073560141375,0.44099999999999995,0.44136084825,1.7092894968999999,1.7401167342825559,0.0,0.0016852909965817497,0.0,0.44299204686349997,0.0,1.9280179899929164,0.0,0.022654802762030333,0.0,0.03890909108627666,0.0,0.05968566926325583,0.0,0.0005658481183266667,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
(all regions confounded),(all provinces confounded),CEBOLLA BLANCA,transitory,517.77,528.23,2.0,11.0,0.01,2.0,227.2727272727273,26392.96187683284,7747.826086956523,7904.347826086957,5180.503900000001,10178.9935,1.3333333333333333,907.18474,0.0,453.59237,0.0,0.0,0.0,0.0,0.0,907.18474,0.0,50000.0,0.0285714285714285,16.666666666666668,0.125,16.666666666666668,0.3333333333333333,10.0,0.0,33.333333333333336,0.0,0.0,0.0,50000.0,0.0,4535.9237,0.0,0.0,0.0,1e-12,0.0,7826.08695652174,0.0,1e-12,0.19999999999999998,290.2991168,0.08728,59.384313080400005,0.16601999999999997,112.95810790109999,0.0,465.83903919500005,0.0,168.0625185285838,0.0,571.0719054103853,0.19999999999999998,756.138155995,0.08728,227.4468316089838,0.16601999999999997,684.0300133114853,0.003957058823529412,40.197656792771845,0.011336396163682864,41.40003756256363,0.06199999999999999,234.40282835845002,0.001,3.780690779975,0.0007899999999999999,3.5317773920384,0.00179,7.3124681720134,0.0,1e-12,0.0,1e-12,0.0,1e-12,2.8563143399999995,2.9140176599999994,1.009421487756,1.0298138410439999,0.17503818499999999,0.3352239421854668,0.072765,0.074235,0.4365899999999999,0.44541,1.7091558493999996,1.8693416065854667,0.0,0.008711104821,0.0,2.266171704571,0.0,9.62578999633435,0.0,0.113401962895,0.0,0.2025328939428,0.0,0.3049420286289425,0.0,0.0039201512701585,0.0,1.0,0.0,1e-12,0.0,1e-12,0.0,1e-12
